alpha,Q,z_naive,eta_naive,z_diode,eta_diode,alpha_clamp,v1,v2,v3,v4,note
0.0000,3.14,1.33400,0.38596,1.33400,0.38596,0.0000,-0.4125,0.0000,-0.4125,-1.0000,DIRECT-LIMIT ANCHOR (= frozen 1.334/0.386)
0.1000,3.17,1.40703,0.38774,1.40703,0.38774,0.1000,-0.4991,-0.0386,-0.3199,-1.0000,
0.2000,3.27,1.49419,0.39430,1.49419,0.39430,0.2000,-0.6331,-0.0984,-0.1763,-1.0000,
0.2770,3.40,1.57260,0.40399,1.57260,0.40399,0.2770,-0.7974,-0.1718,-0.0002,-1.0000,
0.3000,3.45,1.59815,0.40787,1.57270,0.40400,0.2771,-0.7976,-0.1719,0.0000,-1.0000,
0.5000,4.19,1.86765,0.46829,1.57270,0.40400,0.2771,-0.7976,-0.1719,0.0000,-1.0000,
0.7000,6.16,2.23614,0.59896,1.57270,0.40400,0.2771,-0.7976,-0.1719,0.0000,-1.0000,
0.9000,16.53,2.71770,0.83379,1.57270,0.40400,0.2771,-0.7976,-0.1719,0.0000,-1.0000,
0.9900,157.87,2.97313,0.98177,1.57270,0.40400,0.2771,-0.7976,-0.1719,0.0000,-1.0000,
0.9990,1571.58,3.00001,0.99816,1.57270,0.40400,0.2771,-0.7976,-0.1719,0.0000,-1.0000,
#verdict,Z-RETUNED (the price is real)
#direct_z,1.334
#direct_eta,0.386
#operating_alpha_Q1909,0.99918
#z_diode_op,1.57270
#eta_diode_op,0.40400
#z_naive_op,3.00
#eta_naive_op,0.999 (the brigade upper bound — unphysical, diode-violating)
#clamp,rail-return diodes D1(2->0)/D2(3->0) re-conduct; alpha_max structural
