gap,dtheta_deg,r_mm,d_ball_mm,rpm,overlap_deg,t_overlap_us,t_need_us,spacing_deg,A1_fits,A1_margin_us,A2_nocross,A2_margin_deg,A3_envelope,A4_strike,eta_real,viable
SG3b,-6,250,4,3000,1.375,76.39,4.30,2.85,True,72.1,True,1.47,True,True,0.7049,True
SG3b,-6,250,4,4500,1.375,50.93,4.30,2.85,True,46.6,True,1.47,True,True,0.7058,True
SG3b,-6,250,4,6000,1.375,38.20,4.30,2.85,True,33.9,True,1.47,True,True,0.7063,True
SG3b,-6,250,8,3000,2.292,127.32,4.30,2.85,True,123.0,True,0.56,True,True,0.7029,True
SG3b,-6,250,8,4500,2.292,84.88,4.30,2.85,True,80.6,True,0.56,True,True,0.7045,True
SG3b,-6,250,8,6000,2.292,63.66,4.30,2.85,True,59.4,True,0.56,True,True,0.7053,True
SG3b,-6,250,12,3000,3.209,178.25,4.30,2.85,True,174.0,False,-0.36,True,True,0.7010,False
SG3b,-6,250,12,4500,3.209,118.84,4.30,2.85,True,114.5,False,-0.36,True,True,0.7033,False
SG3b,-6,250,12,6000,3.209,89.13,4.30,2.85,True,84.8,False,-0.36,True,True,0.7044,False
SG3b,-6,250,16,3000,4.125,229.18,4.30,2.85,True,224.9,False,-1.28,True,True,0.6991,False
SG3b,-6,250,16,4500,4.125,152.79,4.30,2.85,True,148.5,False,-1.28,True,True,0.7020,False
SG3b,-6,250,16,6000,4.125,114.59,4.30,2.85,True,110.3,False,-1.28,True,True,0.7034,False
SG3b,-6,250,20,3000,5.042,280.11,4.30,2.85,True,275.8,False,-2.19,True,True,0.6972,False
SG3b,-6,250,20,4500,5.042,186.74,4.30,2.85,True,182.4,False,-2.19,True,True,0.7007,False
SG3b,-6,250,20,6000,5.042,140.06,4.30,2.85,True,135.8,False,-2.19,True,True,0.7025,False
SG3b,-6,300,4,3000,1.146,63.66,4.30,2.85,True,59.4,True,1.70,True,True,0.7053,True
SG3b,-6,300,4,4500,1.146,42.44,4.30,2.85,True,38.1,True,1.70,True,True,0.7061,True
SG3b,-6,300,4,6000,1.146,31.83,4.30,2.85,True,27.5,True,1.70,True,True,0.7065,True
SG3b,-6,300,8,3000,1.910,106.10,4.30,2.85,True,101.8,True,0.94,True,True,0.7037,True
SG3b,-6,300,8,4500,1.910,70.74,4.30,2.85,True,66.4,True,0.94,True,True,0.7051,True
SG3b,-6,300,8,6000,1.910,53.05,4.30,2.85,True,48.8,True,0.94,True,True,0.7057,True
SG3b,-6,300,12,3000,2.674,148.54,4.30,2.85,True,144.2,True,0.18,True,True,0.7021,True
SG3b,-6,300,12,4500,2.674,99.03,4.30,2.85,True,94.7,True,0.18,True,True,0.7040,True
SG3b,-6,300,12,6000,2.674,74.27,4.30,2.85,True,70.0,True,0.18,True,True,0.7049,True
SG3b,-6,300,16,3000,3.438,190.99,4.30,2.85,True,186.7,False,-0.59,True,True,0.7005,False
SG3b,-6,300,16,4500,3.438,127.32,4.30,2.85,True,123.0,False,-0.59,True,True,0.7029,False
SG3b,-6,300,16,6000,3.438,95.49,4.30,2.85,True,91.2,False,-0.59,True,True,0.7041,False
SG3b,-6,300,20,3000,4.202,233.43,4.30,2.85,True,229.1,False,-1.35,True,True,0.6989,False
SG3b,-6,300,20,4500,4.202,155.62,4.30,2.85,True,151.3,False,-1.35,True,True,0.7019,False
SG3b,-6,300,20,6000,4.202,116.71,4.30,2.85,True,112.4,False,-1.35,True,True,0.7033,False
SG3b,-6,350,4,3000,0.982,54.57,4.30,2.85,True,50.3,True,1.87,True,True,0.7057,True
SG3b,-6,350,4,4500,0.982,36.38,4.30,2.85,True,32.1,True,1.87,True,True,0.7064,True
SG3b,-6,350,4,6000,0.982,27.28,4.30,2.85,True,23.0,True,1.87,True,True,0.7067,True
SG3b,-6,350,8,3000,1.637,90.95,4.30,2.85,True,86.6,True,1.21,True,True,0.7043,True
SG3b,-6,350,8,4500,1.637,60.63,4.30,2.85,True,56.3,True,1.21,True,True,0.7054,True
SG3b,-6,350,8,6000,1.637,45.47,4.30,2.85,True,41.2,True,1.21,True,True,0.7060,True
SG3b,-6,350,12,3000,2.292,127.32,4.30,2.85,True,123.0,True,0.56,True,True,0.7029,True
SG3b,-6,350,12,4500,2.292,84.88,4.30,2.85,True,80.6,True,0.56,True,True,0.7045,True
SG3b,-6,350,12,6000,2.292,63.66,4.30,2.85,True,59.4,True,0.56,True,True,0.7053,True
SG3b,-6,350,16,3000,2.947,163.70,4.30,2.85,True,159.4,False,-0.10,True,True,0.7016,False
SG3b,-6,350,16,4500,2.947,109.13,4.30,2.85,True,104.8,False,-0.10,True,True,0.7036,False
SG3b,-6,350,16,6000,2.947,81.85,4.30,2.85,True,77.6,False,-0.10,True,True,0.7047,False
SG3b,-6,350,20,3000,3.601,200.08,4.30,2.85,True,195.8,False,-0.75,True,True,0.7002,False
SG3b,-6,350,20,4500,3.601,133.39,4.30,2.85,True,129.1,False,-0.75,True,True,0.7027,False
SG3b,-6,350,20,6000,3.601,100.04,4.30,2.85,True,95.7,False,-0.75,True,True,0.7040,False
SG3b,-6,387,4,3000,0.888,49.35,4.30,2.85,True,45.1,True,1.96,True,True,0.7059,True
