part,theta_deg,A_overlap_mm2,method,tier
C1,0.00,221080.3,analytic_annular_sector,OC
C1,0.50,217395.7,analytic_annular_sector,OC
C1,1.00,213711.0,analytic_annular_sector,OC
C1,1.50,210026.3,analytic_annular_sector,OC
C1,2.00,206341.6,analytic_annular_sector,OC
C1,2.50,202657.0,analytic_annular_sector,OC
C1,3.00,198972.3,analytic_annular_sector,OC
C1,3.50,195287.6,analytic_annular_sector,OC
C1,4.00,191602.9,analytic_annular_sector,OC
C1,4.50,187918.3,analytic_annular_sector,OC
C1,5.00,184233.6,analytic_annular_sector,OC
C1,5.50,180548.9,analytic_annular_sector,OC
C1,6.00,176864.3,analytic_annular_sector,OC
C1,6.50,173179.6,analytic_annular_sector,OC
C1,7.00,169494.9,analytic_annular_sector,OC
C1,7.50,165810.2,analytic_annular_sector,OC
C1,8.00,162125.6,analytic_annular_sector,OC
C1,8.50,158440.9,analytic_annular_sector,OC
C1,9.00,154756.2,analytic_annular_sector,OC
C1,9.50,151071.6,analytic_annular_sector,OC
C1,10.00,147386.9,analytic_annular_sector,OC
C1,10.50,143702.2,analytic_annular_sector,OC
C1,11.00,140017.5,analytic_annular_sector,OC
C1,11.50,136332.9,analytic_annular_sector,OC
C1,12.00,132648.2,analytic_annular_sector,OC
C1,12.50,128963.5,analytic_annular_sector,OC
C1,13.00,125278.9,analytic_annular_sector,OC
C1,13.50,121594.2,analytic_annular_sector,OC
C1,14.00,117909.5,analytic_annular_sector,OC
C1,14.50,114224.8,analytic_annular_sector,OC
C1,15.00,110540.2,analytic_annular_sector,OC
C1,15.50,106855.5,analytic_annular_sector,OC
C1,16.00,103170.8,analytic_annular_sector,OC
C1,16.50,99486.1,analytic_annular_sector,OC
C1,17.00,95801.5,analytic_annular_sector,OC
C1,17.50,92116.8,analytic_annular_sector,OC
C1,18.00,88432.1,analytic_annular_sector,OC
C1,18.50,84747.5,analytic_annular_sector,OC
C1,19.00,81062.8,analytic_annular_sector,OC
C1,19.50,77378.1,analytic_annular_sector,OC
C1,20.00,73693.4,analytic_annular_sector,OC
C1,20.50,70008.8,analytic_annular_sector,OC
C1,21.00,66324.1,analytic_annular_sector,OC
C1,21.50,62639.4,analytic_annular_sector,OC
C1,22.00,58954.8,analytic_annular_sector,OC
C1,22.50,55270.1,analytic_annular_sector,OC
C1,23.00,51585.4,analytic_annular_sector,OC
C1,23.50,47900.7,analytic_annular_sector,OC
C1,24.00,44216.1,analytic_annular_sector,OC
C1,24.50,40531.4,analytic_annular_sector,OC
C1,25.00,36846.7,analytic_annular_sector,OC
C1,25.50,33162.0,analytic_annular_sector,OC
C1,26.00,29477.4,analytic_annular_sector,OC
C1,26.50,25792.7,analytic_annular_sector,OC
C1,27.00,22108.0,analytic_annular_sector,OC
C1,27.50,18423.4,analytic_annular_sector,OC
C1,28.00,14738.7,analytic_annular_sector,OC
C1,28.50,11054.0,analytic_annular_sector,OC
C1,29.00,7369.3,analytic_annular_sector,OC
C1,29.50,3684.7,analytic_annular_sector,OC
C1,30.00,0.0,analytic_annular_sector,OC
C2,0.00,0.0,analytic_annular_sector,OC
C2,0.50,3684.7,analytic_annular_sector,OC
C2,1.00,7369.3,analytic_annular_sector,OC
C2,1.50,11054.0,analytic_annular_sector,OC
C2,2.00,14738.7,analytic_annular_sector,OC
C2,2.50,18423.4,analytic_annular_sector,OC
