scheme,C_rail_pF,EfireIsland_mJ,Cfire_pF,Qpickup_uC,Wcoll_mJ,pickupLoss_mJ,railDeliver_mJ,cyc_per_fire,Etank_mJ,kickCount,etaMachine,ledger_res_mJ
M1,309,1.6000,8.00,0.1600,1.5802,4.6509,6.1526,1.00,1.5764,56.306,0.0900,1.48e+00
real,309,13.9506,69.75,1.3951,12.4489,4.6509,6.1526,1.00,13.7452,6.458,0.4842,1.07e-14
M2,309,129.3463,648.00,12.9473,0.0000,0.0001,0.1210,37.00,127.4418,0.696,0.2161,-1.29e+02
real[309pF(Ca)],309,13.9506,69.75,1.3951,12.4489,4.6509,6.1526,1.00,13.7452,6.458,0.4842,1.07e-14
real[618pF(Ca+Cb)],618,16.1728,80.86,1.6173,14.1546,4.1344,6.1526,1.00,15.9347,5.570,0.5295,0.00e+00
real[898pF(+C2max)],898,17.1167,85.58,1.7117,14.8560,3.8919,6.1526,1.00,16.8646,5.263,0.5476,1.07e-14
#verdict,M2-PARTIAL
#ISLAND_FIRE_ENERGY_mJ,13.951
#kick_count,6.46
#eta_machine,0.4842
