stage,type,placement,V_glow_kV,V_crowbar_kV,Q,event_index,t_s,E_event_J,E_cumulative_J
R2,glow,void,14,,320,,,4.087206e-01,2.043603e+00
R2,glow,void,16,,320,,,3.513114e-01,1.756557e+00
R2,glow,void,18,,320,,,2.872061e-01,1.436031e+00
R2,glow,void,20,,320,,,2.178135e-01,1.089068e+00
R2,glow,void,22,,320,,,1.395881e-01,6.979406e-01
R2,glow,void,14,,500,,,4.141208e-01,2.070604e+00
R2,glow,void,16,,500,,,3.571892e-01,1.785946e+00
R2,glow,void,18,,500,,,2.939613e-01,1.469806e+00
R2,glow,void,20,,500,,,2.256435e-01,1.128217e+00
R2,glow,void,22,,500,,,1.472095e-01,7.360474e-01
R2,glow,void,14,,900,,,4.028527e-01,2.819969e+00
R2,glow,void,16,,900,,,3.501512e-01,2.451058e+00
R2,glow,void,18,,900,,,2.919089e-01,2.043362e+00
R2,glow,void,20,,900,,,2.264220e-01,1.584954e+00
R2,glow,void,22,,900,,,1.558744e-01,1.091121e+00
R2,glow,island,14,,320,,,0.000000e+00,0.000000e+00
R2,glow,island,16,,320,,,0.000000e+00,0.000000e+00
R2,glow,island,18,,320,,,0.000000e+00,0.000000e+00
R2,glow,island,20,,320,,,0.000000e+00,0.000000e+00
R2,glow,island,22,,320,,,0.000000e+00,0.000000e+00
R2,glow,island,14,,500,,,0.000000e+00,0.000000e+00
R2,glow,island,16,,500,,,0.000000e+00,0.000000e+00
R2,glow,island,18,,500,,,0.000000e+00,0.000000e+00
R2,glow,island,20,,500,,,0.000000e+00,0.000000e+00
R2,glow,island,22,,500,,,0.000000e+00,0.000000e+00
R2,glow,island,14,,900,,,0.000000e+00,0.000000e+00
R2,glow,island,16,,900,,,0.000000e+00,0.000000e+00
R2,glow,island,18,,900,,,0.000000e+00,0.000000e+00
R2,glow,island,20,,900,,,0.000000e+00,0.000000e+00
R2,glow,island,22,,900,,,0.000000e+00,0.000000e+00
R3,crowbar,void,,20,320,0,0.000000e+00,4.914826e-01,4.914826e-01
R3,crowbar,void,,20,320,1,1.666698e-03,4.914036e-01,9.828862e-01
R3,crowbar,void,,20,320,2,3.333330e-03,4.914100e-01,1.474296e+00
R3,crowbar,void,,20,320,3,5.000028e-03,4.914032e-01,1.965699e+00
R3,crowbar,void,,20,320,4,6.666661e-03,4.914100e-01,2.457109e+00
R3,crowbar,void,,20,320,5,8.333358e-03,4.914032e-01,2.948513e+00
R3,crowbar,void,,22,320,0,0.000000e+00,4.914826e-01,4.914826e-01
R3,crowbar,void,,22,320,1,1.666698e-03,4.914036e-01,9.828862e-01
R3,crowbar,void,,22,320,2,3.333330e-03,4.914100e-01,1.474296e+00
R3,crowbar,void,,22,320,3,5.000028e-03,4.914032e-01,1.965699e+00
R3,crowbar,void,,22,320,4,6.666661e-03,4.914100e-01,2.457109e+00
R3,crowbar,void,,22,320,5,8.333358e-03,4.914032e-01,2.948513e+00
R3,crowbar,void,,24,320,0,0.000000e+00,4.914826e-01,4.914826e-01
R3,crowbar,void,,24,320,1,1.666698e-03,4.914036e-01,9.828862e-01
R3,crowbar,void,,24,320,2,3.333330e-03,4.914100e-01,1.474296e+00
R3,crowbar,void,,24,320,3,5.000028e-03,4.914032e-01,1.965699e+00
R3,crowbar,void,,24,320,4,6.666661e-03,4.914100e-01,2.457109e+00
R3,crowbar,void,,24,320,5,8.333358e-03,4.914032e-01,2.948513e+00
R3,crowbar,void,,20,500,0,0.000000e+00,4.914822e-01,4.914822e-01
R3,crowbar,void,,20,500,1,1.666698e-03,4.909678e-01,9.824500e-01
R3,crowbar,void,,20,500,2,3.333330e-03,4.909991e-01,1.473449e+00
R3,crowbar,void,,20,500,3,5.000028e-03,4.909531e-01,1.964402e+00
R3,crowbar,void,,20,500,4,6.666661e-03,4.909987e-01,2.455401e+00
R3,crowbar,void,,20,500,5,8.333358e-03,4.909531e-01,2.946354e+00
R3,crowbar,void,,22,500,0,0.000000e+00,4.914822e-01,4.914822e-01
R3,crowbar,void,,22,500,1,1.666698e-03,4.909678e-01,9.824500e-01
R3,crowbar,void,,22,500,2,3.333330e-03,4.909991e-01,1.473449e+00
R3,crowbar,void,,22,500,3,5.000028e-03,4.909531e-01,1.964402e+00
R3,crowbar,void,,22,500,4,6.666661e-03,4.909987e-01,2.455401e+00
R3,crowbar,void,,22,500,5,8.333358e-03,4.909531e-01,2.946354e+00
R3,crowbar,void,,24,500,0,0.000000e+00,4.914822e-01,4.914822e-01
R3,crowbar,void,,24,500,1,1.666698e-03,4.909678e-01,9.824500e-01
R3,crowbar,void,,24,500,2,3.333330e-03,4.909991e-01,1.473449e+00
R3,crowbar,void,,24,500,3,5.000028e-03,4.909531e-01,1.964402e+00
R3,crowbar,void,,24,500,4,6.666661e-03,4.909987e-01,2.455401e+00
R3,crowbar,void,,24,500,5,8.333358e-03,4.909531e-01,2.946354e+00
R3,crowbar,void,,20,900,0,0.000000e+00,4.914819e-01,4.914819e-01
R3,crowbar,void,,20,900,1,1.666698e-03,4.892577e-01,9.807396e-01
R3,crowbar,void,,20,900,2,3.333330e-03,4.892202e-01,1.469960e+00
R3,crowbar,void,,20,900,3,5.000028e-03,4.889575e-01,1.958917e+00
R3,crowbar,void,,20,900,4,6.666661e-03,4.891848e-01,2.448102e+00
R3,crowbar,void,,20,900,5,8.333358e-03,4.889526e-01,2.937055e+00
R3,crowbar,void,,20,900,6,9.999991e-03,4.891842e-01,3.426239e+00
R3,crowbar,void,,20,900,7,1.166669e-02,4.889525e-01,3.915191e+00
R3,crowbar,void,,22,900,0,0.000000e+00,4.914819e-01,4.914819e-01
R3,crowbar,void,,22,900,1,1.666698e-03,4.892577e-01,9.807396e-01
R3,crowbar,void,,22,900,2,3.333330e-03,4.892202e-01,1.469960e+00
R3,crowbar,void,,22,900,3,5.000028e-03,4.889575e-01,1.958917e+00
R3,crowbar,void,,22,900,4,6.666661e-03,4.891848e-01,2.448102e+00
R3,crowbar,void,,22,900,5,8.333358e-03,4.889526e-01,2.937055e+00
R3,crowbar,void,,22,900,6,9.999991e-03,4.891842e-01,3.426239e+00
R3,crowbar,void,,22,900,7,1.166669e-02,4.889525e-01,3.915191e+00
R3,crowbar,void,,24,900,0,0.000000e+00,4.914819e-01,4.914819e-01
R3,crowbar,void,,24,900,1,1.666698e-03,4.892577e-01,9.807396e-01
R3,crowbar,void,,24,900,2,3.333330e-03,4.892202e-01,1.469960e+00
R3,crowbar,void,,24,900,3,5.000028e-03,4.889575e-01,1.958917e+00
R3,crowbar,void,,24,900,4,6.666661e-03,4.891848e-01,2.448102e+00
R3,crowbar,void,,24,900,5,8.333358e-03,4.889526e-01,2.937055e+00
R3,crowbar,void,,24,900,6,9.999991e-03,4.891842e-01,3.426239e+00
R3,crowbar,void,,24,900,7,1.166669e-02,4.889525e-01,3.915191e+00
