section,key,value,unit
A1,gap5.5_Vfire_kV,17.16,kV
A1,gap5.5_margin,0.0282,frac
A1,gap5.5_held,1,bool
A1,gap6.0_Vfire_kV,18.72,kV
A1,gap6.0_margin,0.1216,frac
A1,gap6.0_held,1,bool
A1,gap6.5_Vfire_kV,20.28,kV
A1,gap6.5_margin,0.2151,frac
A1,gap6.5_held,1,bool
A2,P_ring_W,55.81,W
A2,P_dielectric_W,53.58,W
A2,P_copper_W,2.23,W
A2,P_governor_W,14.41,W
A2,P_arc_W,0.0480,W
A2,Q_dielectric,50,-
A3,eta_build,0.7949,frac
A3,Vfire_6.0_kV,18.72,kV
A4,n_fire_singlekick,1,-
A4,n_fire_series,6,-
#verdict,OPERATING-POINT-STABLE
#hold_power_series_W,14.4
#hold_power_parallel_W,70.2
