mode,corner,rpm,z_spark,misfire_rate,constrictions,deg_window(SG3a..SG3b),time_window_s
arc,opt,300,1.1888,0.0000,0,19.20,1.067e-02
arc,opt,579,1.1888,0.0000,0,19.20,5.525e-03
arc,opt,1118,1.1888,0.0000,0,19.20,2.862e-03
arc,opt,2159,1.1888,0.0000,0,19.20,1.482e-03
arc,opt,4168,1.1888,0.0000,0,19.20,7.677e-04
arc,opt,8048,1.1888,0.0000,0,19.20,3.976e-04
arc,opt,15538,1.1888,0.0000,0,19.20,2.059e-04
arc,opt,30000,1.1888,0.0000,0,19.20,1.067e-04
arc,mid,300,1.1844,0.0000,0,19.20,1.067e-02
arc,mid,579,1.1844,0.0000,0,19.20,5.525e-03
arc,mid,1118,1.1844,0.0000,0,19.20,2.862e-03
arc,mid,2159,1.1844,0.0000,0,19.20,1.482e-03
arc,mid,4168,1.1844,0.0000,0,19.20,7.677e-04
arc,mid,8048,1.1844,0.0000,0,19.20,3.976e-04
arc,mid,15538,1.1844,0.0000,0,19.20,2.059e-04
arc,mid,30000,1.1844,0.0042,0,19.20,1.067e-04
arc,pess,300,1.1667,0.0000,0,19.20,1.067e-02
arc,pess,579,1.1667,0.0000,0,19.20,5.525e-03
arc,pess,1118,1.1667,0.0000,0,19.20,2.862e-03
arc,pess,2159,1.1667,0.0000,0,19.20,1.482e-03
arc,pess,4168,1.1667,0.0083,0,19.20,7.677e-04
arc,pess,8048,1.1667,0.0875,0,19.20,3.976e-04
arc,pess,15538,1.1667,0.2833,0,19.20,2.059e-04
arc,pess,30000,1.1667,0.5375,0,19.20,1.067e-04
glow,opt,300,1.1894,0.0000,0,19.20,1.067e-02
glow,opt,579,1.1894,0.0000,0,19.20,5.525e-03
glow,opt,1118,1.1894,0.0000,0,19.20,2.862e-03
glow,opt,2159,1.1894,0.0000,0,19.20,1.482e-03
glow,opt,4168,1.1894,0.0000,0,19.20,7.677e-04
glow,opt,8048,1.1894,0.0000,0,19.20,3.976e-04
glow,opt,15538,1.1902,0.0000,238,19.20,2.059e-04
glow,opt,30000,1.1903,0.0000,240,19.20,1.067e-04
glow,mid,300,1.1875,0.0000,0,19.20,1.067e-02
glow,mid,579,1.1875,0.0000,0,19.20,5.525e-03
glow,mid,1118,1.1875,0.0000,0,19.20,2.862e-03
glow,mid,2159,1.1875,0.0000,0,19.20,1.482e-03
glow,mid,4168,1.1875,0.0000,0,19.20,7.677e-04
glow,mid,8048,1.1900,0.0000,239,19.20,3.976e-04
glow,mid,15538,1.1901,0.0000,240,19.20,2.059e-04
glow,mid,30000,1.1901,0.0042,239,19.20,1.067e-04
glow,pess,300,1.1808,0.0000,0,19.20,1.067e-02
glow,pess,579,1.1808,0.0000,0,19.20,5.525e-03
glow,pess,1118,1.1808,0.0000,0,19.20,2.862e-03
glow,pess,2159,1.1808,0.0000,0,19.20,1.482e-03
glow,pess,4168,1.1892,0.0083,237,19.20,7.677e-04
glow,pess,8048,1.1892,0.0875,218,19.20,3.976e-04
glow,pess,15538,1.1892,0.2833,172,19.20,2.059e-04
glow,pess,30000,1.1892,0.5375,108,19.20,1.067e-04
