 1.25000000e-08 -6.88215078e-01  1.25000000e-08 -6.88574255e-01 
 1.25024689e-08 -6.88267259e-01  1.25024689e-08 -6.88626590e-01 
 1.25074066e-08 -6.88341329e-01  1.25074066e-08 -6.88700955e-01 
 1.25100478e-08 -6.88362178e-01  1.25100478e-08 -6.88721952e-01 
 1.25119354e-08 -6.88374361e-01  1.25119354e-08 -6.88734238e-01 
 1.25147735e-08 -6.88389911e-01  1.25147735e-08 -6.88749942e-01 
 1.25195607e-08 -6.88411044e-01  1.25195607e-08 -6.88771332e-01 
 1.25249372e-08 -6.88429698e-01  1.25249372e-08 -6.88790271e-01 
 1.25319736e-08 -6.88449108e-01  1.25319736e-08 -6.88810051e-01 
 1.25399884e-08 -6.88466744e-01  1.25399884e-08 -6.88828106e-01 
 1.25507696e-08 -6.88485729e-01  1.25507696e-08 -6.88847653e-01 
 1.25633585e-08 -6.88503408e-01  1.25633585e-08 -6.88865985e-01 
 1.25799003e-08 -6.88521973e-01  1.25799003e-08 -6.88885406e-01 
 1.25993504e-08 -6.88539382e-01  1.25993504e-08 -6.88903819e-01 
 1.26245847e-08 -6.88557425e-01  1.26245847e-08 -6.88923163e-01 
 1.26545288e-08 -6.88574487e-01  1.26545288e-08 -6.88941766e-01 
 1.26929468e-08 -6.88591938e-01  1.26929468e-08 -6.88961191e-01 
 1.27388069e-08 -6.88608494e-01  1.27388069e-08 -6.88980103e-01 
 1.27970807e-08 -6.88625196e-01  1.27970807e-08 -6.88999795e-01 
 1.28669509e-08 -6.88641024e-01  1.28669509e-08 -6.89019207e-01 
 1.29550055e-08 -6.88656739e-01  1.29550055e-08 -6.89039436e-01 
 1.30608958e-08 -6.88671524e-01  1.30608958e-08 -6.89059649e-01 
 1.31933805e-08 -6.88685895e-01  1.31933805e-08 -6.89080808e-01 
 1.33529770e-08 -6.88699187e-01  1.33529770e-08 -6.89102275e-01 
 1.35513591e-08 -6.88711694e-01  1.35513591e-08 -6.89124942e-01 
 1.37904938e-08 -6.88722857e-01  1.37904938e-08 -6.89148351e-01 
 1.40859485e-08 -6.88732760e-01  1.40859485e-08 -6.89173383e-01 
 1.44419620e-08 -6.88740912e-01  1.44419620e-08 -6.89199761e-01 
 1.48792441e-08 -6.88747193e-01  1.48792441e-08 -6.89228430e-01 
 1.54053977e-08 -6.88751146e-01  1.54053977e-08 -6.89259318e-01 
 1.60477839e-08 -6.88752460e-01  1.60477839e-08 -6.89293516e-01 
 1.68187188e-08 -6.88750690e-01  1.68187188e-08 -6.89331210e-01 
 1.77539264e-08 -6.88745358e-01  1.77539264e-08 -6.89373750e-01 
 1.88720742e-08 -6.88736035e-01  1.88720742e-08 -6.89421664e-01 
 2.02193849e-08 -6.88722117e-01  2.02193849e-08 -6.89476712e-01 
 2.18237295e-08 -6.88703193e-01  2.18237295e-08 -6.89539910e-01 
 2.37466723e-08 -6.88678524e-01  2.37466723e-08 -6.89613677e-01 
 2.60343715e-08 -6.88647603e-01  2.60343715e-08 -6.89699865e-01 
 2.87784781e-08 -6.88609360e-01  2.87784781e-08 -6.89802088e-01 
 3.20692807e-08 -6.88562724e-01  3.20692807e-08 -6.89923904e-01 
 3.60661162e-08 -6.88505623e-01  3.60661162e-08 -6.90071415e-01 
 4.14292976e-08 -6.88428752e-01  4.14292976e-08 -6.90269159e-01 
 4.89924081e-08 -6.88320260e-01  4.89924081e-08 -6.90548057e-01 
 6.08615959e-08 -6.88150034e-01  6.08615959e-08 -6.90986141e-01 
 8.37210459e-08 -6.87822429e-01  8.37210459e-08 -6.91831412e-01 
 1.29439946e-07 -6.87168179e-01  1.29439946e-07 -6.93528111e-01 
 2.20877746e-07 -6.85863558e-01  2.20877746e-07 -6.96946215e-01 
 4.03753346e-07 -6.83270160e-01  4.03753346e-07 -7.03881765e-01 
 7.69504546e-07 -6.78149241e-01  7.69504546e-07 -7.18154262e-01 
 1.25000000e-06 -6.71562936e-01  1.25000000e-06 -7.37729769e-01 
 1.29699566e-06 -6.70927650e-01  1.29699566e-06 -7.39695284e-01 
 1.39098699e-06 -6.69662360e-01  1.39098699e-06 -7.43653717e-01 
 1.55728998e-06 -6.67439472e-01  1.55728998e-06 -7.50747344e-01 
 1.72541574e-06 -6.65214070e-01  1.72541574e-06 -7.58035837e-01 
 2.02351236e-06 -6.61322378e-01  2.02351236e-06 -7.71249794e-01 
 2.47463245e-06 -6.55569605e-01  2.47463245e-06 -7.91959120e-01 
 3.27213992e-06 -6.45817173e-01  3.27213992e-06 -8.30680632e-01 
 4.52213992e-06 -6.31653561e-01  4.52213992e-06 -8.96778519e-01 
 5.77213992e-06 -6.18896485e-01  5.77213992e-06 -9.69274813e-01 
 7.02213992e-06 -6.07540298e-01  7.02213992e-06 -1.04767422e+00 
 8.27213992e-06 -5.97535395e-01  8.27213992e-06 -1.13117442e+00 
 9.52213992e-06 -5.88802022e-01  9.52213992e-06 -1.21867642e+00 
