component,node_a,node_b,source,confirm_method
BS3,7,3,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
BS4,8,2,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
C1,R-A,1,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
C2,R-B,4,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
C_AR1,n19,2,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
C_AR2,n10,2,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
C_AR3,n09,2,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
C_AR5,n14,2,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
C_AR6,n22,2,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
C_BR1,3,n21,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
C_BR2,3,n11,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
C_BR3,3,n20,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
C_BR4,3,n03,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
C_BR5,3,n12,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
C_BR6,3,n15,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
C_R1,n18,n00,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
C__AR4,n13,2,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
Ca1,1,2,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
Cb1,3,4,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
Cx3,7,n17,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
Cx4,n23,8,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
L_A1,1,n19,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
L_A2,1,n10,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
L_A3,1,n09,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
L_A4,1,n13,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
L_A5,1,n14,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
L_A6,1,n22,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
L_B1,n21,4,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
L_B2,n11,4,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
L_B3,n20,4,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
L_B4,n03,4,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
L_B5,n12,4,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
L_B6,n15,4,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
L_R1,R-A,n18,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
L_R2,n00,R-B,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
Lx3,n17,3,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
Lx4,2,n23,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
SG1,2,R-A,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
SG2,3,R-B,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
SG3a1,1,7,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
SG3b1,7,3,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
SG4a1,4,8,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
SG4b1,8,2,"KiCad DCCREG_Turbine_circuit.kicad_sch (43-comp, all 8 gaps)",schematic geometry (pin-exact)
#components,43
#nets,24
#pin_calibration,86/86
#nodes,1=A-rail 4=B-rail 2=AR-bank 3=BR-bank 7=island-A 8=island-B R-A/R-B=resonator ends
