theta_deg,C1_pF,C2_pF,T_varicap_mNm,T_shuttle_mNm,T_cem_mNm,tier
0.000,280.00,16.00,-3166.6276,0.0000,0.0000,OC
0.083,279.27,16.73,-1411.0362,0.0000,0.0000,OC
0.167,278.53,17.47,1427.4436,0.0000,0.0000,OC
0.250,277.80,18.20,2493.9244,0.0000,0.0000,OC
0.333,277.07,18.93,-1443.8509,0.0000,0.0000,OC
0.417,276.33,19.67,-1246.9622,0.0000,0.0000,OC
0.500,275.60,20.40,2707.2205,0.0000,0.0000,OC
0.583,274.87,21.13,1443.8509,0.0000,0.0000,OC
0.667,274.13,21.87,-1443.8509,0.0000,0.0000,OC
0.750,273.40,22.60,-3265.0720,0.0000,0.0000,OC
0.833,272.67,23.33,1296.1844,0.0000,0.0000,OC
0.917,271.93,24.07,1460.2583,0.0000,0.0000,OC
1.000,271.20,24.80,-180.4814,0.0000,0.0000,OC
1.083,270.47,25.53,-1476.6657,0.0000,0.0000,OC
1.167,269.73,26.27,-1476.6657,0.0000,0.0000,OC
1.250,269.00,27.00,2592.3687,0.0000,0.0000,OC
1.333,268.27,27.73,1493.0731,0.0000,0.0000,OC
1.417,267.53,28.47,-1493.0731,0.0000,0.0000,OC
1.500,266.80,29.20,-180.4814,0.0000,0.0000,OC
1.583,266.07,29.93,1493.0731,0.0000,0.0000,OC
1.667,265.33,30.67,-1509.4805,0.0000,0.0000,OC
1.750,264.60,31.40,-0.0000,0.0000,0.0000,OC
1.833,263.87,32.13,1509.4805,0.0000,0.0000,OC
1.917,263.13,32.87,-1525.8879,0.0000,0.0000,OC
2.000,262.40,33.60,1525.8879,0.0000,0.0000,OC
2.083,261.67,34.33,-771.1477,0.0000,0.0000,OC
2.167,260.93,35.07,-377.3701,0.0000,0.0000,OC
2.250,260.20,35.80,3855.7383,0.0000,0.0000,OC
2.333,259.47,36.53,-3461.9608,0.0000,0.0000,OC
2.417,258.73,37.27,-3888.5531,0.0000,0.0000,OC
2.500,258.00,38.00,3511.1830,0.0000,0.0000,OC
2.583,257.27,38.73,-0.0000,0.0000,0.0000,OC
2.667,256.53,39.47,-377.3701,0.0000,0.0000,OC
2.750,255.80,40.20,3150.2203,0.0000,0.0000,OC
2.833,255.07,40.93,-3527.5904,0.0000,0.0000,OC
2.917,254.33,41.67,-0.0000,0.0000,0.0000,OC
3.000,253.60,42.40,3576.8126,0.0000,0.0000,OC
3.083,252.87,43.13,-3970.5901,0.0000,0.0000,OC
3.167,252.13,43.87,-0.0000,0.0000,0.0000,OC
3.250,251.40,44.60,4003.4049,0.0000,0.0000,OC
3.333,250.67,45.33,-4019.8123,0.0000,0.0000,OC
3.417,249.93,46.07,-803.9625,0.0000,0.0000,OC
3.500,249.20,46.80,7268.4769,0.0000,0.0000,OC
3.583,248.47,47.53,-0.0000,0.0000,0.0000,OC
3.667,247.73,48.27,-4069.0345,0.0000,0.0000,OC
3.750,247.00,49.00,-0.0000,0.0000,0.0000,OC
3.833,246.27,49.73,-3281.4794,0.0000,0.0000,OC
3.917,245.53,50.47,-0.0000,0.0000,0.0000,OC
4.000,244.80,51.20,6579.3663,0.0000,0.0000,OC
4.083,244.07,51.93,-0.0000,0.0000,0.0000,OC
4.167,243.33,52.67,-3314.2942,0.0000,0.0000,OC
4.250,242.60,53.40,3330.7016,0.0000,0.0000,OC
4.333,241.87,54.13,-836.7773,0.0000,0.0000,OC
4.417,241.13,54.87,-3330.7016,0.0000,0.0000,OC
4.500,240.40,55.60,836.7773,0.0000,0.0000,OC
4.583,239.67,56.33,-836.7773,0.0000,0.0000,OC
4.667,238.93,57.07,-836.7773,0.0000,0.0000,OC
4.750,238.20,57.80,3379.9238,0.0000,0.0000,OC
4.833,237.47,58.53,-0.0000,0.0000,0.0000,OC
4.917,236.73,59.27,-3396.3312,0.0000,0.0000,OC
5.000,236.00,60.00,4265.9233,0.0000,0.0000,OC
5.083,235.27,60.73,-0.0000,0.0000,0.0000,OC
5.167,234.53,61.47,-4298.7381,0.0000,0.0000,OC
5.250,233.80,62.20,3445.5534,0.0000,0.0000,OC
5.333,233.07,62.93,-853.1847,0.0000,0.0000,OC
5.417,232.33,63.67,-3478.3682,0.0000,0.0000,OC
5.500,231.60,64.40,2608.7761,0.0000,0.0000,OC
5.583,230.87,65.13,869.5920,0.0000,0.0000,OC
5.667,230.13,65.87,-1739.1841,0.0000,0.0000,OC
5.750,229.40,66.60,885.9994,0.0000,0.0000,OC
5.833,228.67,67.33,-869.5920,0.0000,0.0000,OC
5.917,227.93,68.07,-0.0000,0.0000,0.0000,OC
6.000,227.20,68.80,4413.5898,0.0000,0.0000,OC
6.083,226.47,69.53,-2657.9983,0.0000,0.0000,OC
6.167,225.73,70.27,-4446.4046,0.0000,0.0000,OC
6.250,225.00,71.00,4462.8120,0.0000,0.0000,OC
6.333,224.27,71.73,1804.8137,0.0000,0.0000,OC
6.417,223.53,72.47,-2690.8131,0.0000,0.0000,OC
6.500,222.80,73.20,-0.0000,0.0000,0.0000,OC
6.583,222.07,73.93,-0.0000,0.0000,0.0000,OC
6.667,221.33,74.67,-0.0000,0.0000,0.0000,OC
6.750,220.60,75.40,1821.2211,0.0000,0.0000,OC
6.833,219.87,76.13,-918.8142,0.0000,0.0000,OC
6.917,219.13,76.87,-2740.0353,0.0000,0.0000,OC
7.000,218.40,77.60,2740.0353,0.0000,0.0000,OC
7.083,217.67,78.33,-0.0000,0.0000,0.0000,OC
7.167,216.93,79.07,-2756.4427,0.0000,0.0000,OC
7.250,216.20,79.80,3708.0718,1.9994,0.0000,OC
7.333,215.47,80.53,-0.0000,5.3301,0.0000,OC
7.417,214.73,81.27,-3724.4792,8.6561,0.0000,OC
7.500,214.00,82.00,2789.2575,11.9745,0.0000,OC
7.583,213.27,82.73,1870.4433,15.2824,0.0000,OC
7.667,212.53,83.47,-2805.6649,18.5770,0.0000,OC
7.750,211.80,84.20,-0.0000,21.8553,0.0000,OC
7.833,211.07,84.93,-951.6290,25.1145,0.0000,OC
7.917,210.33,85.67,-1886.8507,28.3517,0.0000,OC
8.000,209.60,86.40,-0.0000,31.5642,0.0000,OC
8.083,208.87,87.13,-951.6290,34.7489,0.0000,OC
8.167,208.13,87.87,968.0364,37.9033,0.0000,OC
8.250,207.40,88.60,-1919.6655,41.0245,0.0000,OC
8.333,206.67,89.33,1919.6655,44.1099,0.0000,OC
8.417,205.93,90.07,1919.6655,47.1566,0.0000,OC
8.500,205.20,90.80,-5791.8112,50.1621,0.0000,OC
8.583,204.47,91.53,-0.0000,53.1236,0.0000,OC
8.667,203.73,92.27,4856.5896,56.0387,0.0000,OC
8.750,203.00,93.00,-968.0364,58.9047,0.0000,OC
8.833,202.27,93.73,-1952.4803,61.7193,0.0000,OC
8.917,201.53,94.47,984.4438,64.4798,0.0000,OC
9.000,200.80,95.20,-0.0000,67.1838,0.0000,OC
9.083,200.07,95.93,984.4438,69.8291,0.0000,OC
9.167,199.33,96.67,1968.8877,72.4133,0.0000,OC
9.250,198.60,97.40,-3970.5901,74.9341,0.0000,OC
9.333,197.87,98.13,-0.0000,77.3894,0.0000,OC
9.417,197.13,98.87,3986.9975,79.7769,0.0000,OC
9.500,196.40,99.60,-3002.5537,82.0947,0.0000,OC
9.583,195.67,100.33,-0.0000,84.3406,0.0000,OC
9.667,194.93,101.07,2018.1098,86.5127,0.0000,OC
9.750,194.20,101.80,-3018.9611,88.6091,0.0000,OC
9.833,193.47,102.53,-0.0000,90.6279,0.0000,OC
9.917,192.73,103.27,3035.3685,92.5675,0.0000,OC
10.000,192.00,104.00,-0.0000,94.4260,0.0000,OC
10.083,191.27,104.73,-1017.2586,96.2020,0.0000,OC
10.167,190.53,105.47,-0.0000,97.8937,0.0000,OC
10.250,189.80,106.20,-2050.9246,99.4998,0.0000,OC
10.333,189.07,106.93,2067.3320,101.0189,0.0000,OC
10.417,188.33,107.67,2067.3320,102.4495,0.0000,OC
10.500,187.60,108.40,-5168.3301,103.7905,0.0000,OC
10.583,186.87,109.13,-0.0000,105.0407,0.0000,OC
10.667,186.13,109.87,4151.0715,106.1989,0.0000,OC
10.750,185.40,110.60,-1033.6660,107.2643,0.0000,OC
10.833,184.67,111.33,-2083.7394,108.2358,0.0000,OC
10.917,183.93,112.07,1050.0734,109.1125,0.0000,OC
11.000,183.20,112.80,-0.0000,109.8938,0.0000,OC
11.083,182.47,113.53,1050.0734,110.5790,0.0000,OC
11.167,181.73,114.27,-0.0000,111.1673,0.0000,OC
11.250,181.00,115.00,-4233.1085,111.6584,0.0000,OC
11.333,180.27,115.73,3183.0350,112.0518,0.0000,OC
11.417,179.53,116.47,6398.8849,112.3472,0.0000,OC
11.500,178.80,117.20,-4265.9233,112.5442,0.0000,OC
11.583,178.07,117.93,-2132.9616,112.6428,0.0000,OC
11.667,177.33,118.67,2149.3690,112.6428,0.0000,OC
11.750,176.60,119.40,-2149.3690,112.5442,0.0000,OC
11.833,175.87,120.13,-0.0000,112.3472,0.0000,OC
11.917,175.13,120.87,4331.5528,112.0518,0.0000,OC
12.000,174.40,121.60,-4331.5528,111.6584,0.0000,OC
12.083,173.67,122.33,-0.0000,111.1673,0.0000,OC
12.167,172.93,123.07,4347.9602,110.5790,0.0000,OC
12.250,172.20,123.80,-4380.7750,109.8938,0.0000,OC
12.333,171.47,124.53,-0.0000,109.1125,0.0000,OC
12.417,170.73,125.27,2198.5912,108.2358,0.0000,OC
12.500,170.00,126.00,-2214.9986,107.2643,0.0000,OC
12.583,169.27,126.73,-0.0000,106.1989,0.0000,OC
12.667,168.53,127.47,2214.9986,105.0407,0.0000,OC
12.750,167.80,128.20,-0.0000,103.7905,0.0000,OC
12.833,167.07,128.93,-0.0000,102.4495,0.0000,OC
12.917,166.33,129.67,-0.0000,101.0189,0.0000,OC
13.000,165.60,130.40,-2247.8134,99.4998,0.0000,OC
13.083,164.87,131.13,2231.4060,97.8937,0.0000,OC
13.167,164.13,131.87,2247.8134,96.2020,0.0000,OC
13.250,163.40,132.60,-4512.0342,94.4260,0.0000,OC
13.333,162.67,133.33,-2264.2208,92.5675,0.0000,OC
13.417,161.93,134.07,4544.8490,90.6279,0.0000,OC
13.500,161.20,134.80,-0.0000,88.6091,0.0000,OC
13.583,160.47,135.53,-2280.6282,86.5127,0.0000,OC
13.667,159.73,136.27,-0.0000,84.3406,0.0000,OC
13.750,159.00,137.00,-2280.6282,82.0947,0.0000,OC
13.833,158.27,137.73,2297.0356,79.7769,0.0000,OC
13.917,157.53,138.47,2313.4430,77.3894,0.0000,OC
14.000,156.80,139.20,-4626.8860,74.9341,0.0000,OC
14.083,156.07,139.93,-2329.8504,72.4133,0.0000,OC
14.167,155.33,140.67,4643.2934,69.8291,0.0000,OC
14.250,154.60,141.40,-0.0000,67.1838,0.0000,OC
14.333,153.87,142.13,-0.0000,64.4798,0.0000,OC
14.417,153.13,142.87,2329.8504,61.7193,0.0000,OC
14.500,152.40,143.60,-2346.2578,58.9047,0.0000,OC
14.583,151.67,144.33,-0.0000,56.0387,0.0000,OC
14.667,150.93,145.07,2362.6652,53.1236,0.0000,OC
14.750,150.20,145.80,-0.0000,50.1621,0.0000,OC
14.833,149.47,146.53,-2379.0726,47.1566,0.0000,OC
14.917,148.73,147.27,-0.0000,44.1099,0.0000,OC
15.000,148.00,148.00,-0.0000,41.0245,0.0000,OC
15.083,147.27,148.73,-2395.4800,37.9033,0.0000,OC
15.167,146.53,149.47,2395.4800,34.7489,0.0000,OC
15.250,145.80,150.20,-0.0000,31.5642,0.0000,OC
15.333,145.07,150.93,-2411.8874,28.3517,0.0000,OC
15.417,144.33,151.67,2411.8874,25.1145,0.0000,OC
15.500,143.60,152.40,-2428.2948,21.8553,0.0000,OC
15.583,142.87,153.13,-0.0000,18.5770,0.0000,OC
15.667,142.13,153.87,4872.9970,15.2824,0.0000,OC
15.750,141.40,154.60,-4872.9970,11.9745,0.0000,OC
15.833,140.67,155.33,-2444.7022,8.6561,0.0000,OC
15.917,139.93,156.07,4905.8117,5.3301,0.0000,OC
16.000,139.20,156.80,-0.0000,1.9994,0.0000,OC
16.083,138.47,157.53,2477.5170,0.0000,0.0000,OC
16.167,137.73,158.27,-0.0000,0.0000,0.0000,OC
16.250,137.00,159.00,-4955.0339,0.0000,0.0000,OC
16.333,136.27,159.73,2477.5170,0.0000,0.0000,OC
16.417,135.53,160.47,4971.4413,0.0000,0.0000,OC
16.500,134.80,161.20,-2493.9244,0.0000,0.0000,OC
16.583,134.07,161.93,-2493.9244,0.0000,0.0000,OC
16.667,133.33,162.67,2510.3318,0.0000,0.0000,OC
16.750,132.60,163.40,-0.0000,0.0000,0.0000,OC
16.833,131.87,164.13,-0.0000,0.0000,0.0000,OC
16.917,131.13,164.87,-0.0000,0.0000,0.0000,OC
17.000,130.40,165.60,-2543.1466,0.0000,0.0000,OC
17.083,129.67,166.33,-0.0000,0.0000,0.0000,OC
17.167,128.93,167.07,2543.1466,0.0000,0.0000,OC
17.250,128.20,167.80,-2543.1466,0.0000,0.0000,OC
17.333,127.47,168.53,-0.0000,0.0000,0.0000,OC
17.417,126.73,169.27,2559.5540,0.0000,0.0000,OC
17.500,126.00,170.00,-5135.5153,0.0000,0.0000,OC
17.583,125.27,170.73,2575.9614,0.0000,0.0000,OC
17.667,124.53,171.47,5168.3301,0.0000,0.0000,OC
17.750,123.80,172.20,-2592.3687,0.0000,0.0000,OC
17.833,123.07,172.93,-2592.3687,0.0000,0.0000,OC
17.917,122.33,173.67,2608.7761,0.0000,0.0000,OC
18.000,121.60,174.40,-0.0000,0.0000,0.0000,OC
18.083,120.87,175.13,-0.0000,0.0000,0.0000,OC
18.167,120.13,175.87,2625.1835,0.0000,0.0000,OC
18.250,119.40,176.60,-5250.3671,0.0000,0.0000,OC
18.333,118.67,177.33,2625.1835,0.0000,0.0000,OC
18.417,117.93,178.07,5283.1819,0.0000,0.0000,OC
18.500,117.20,178.80,-5283.1819,0.0000,0.0000,OC
18.583,116.47,179.53,-2657.9983,0.0000,0.0000,OC
